current_player,turns_played,white_pawn,white_knight,white_bishop,white_rook,white_queen,black_pawn,black_knight,black_bishop,black_rook,black_queen,white_double_pawns,black_double_pawns,white_isolated_pawns,black_isolated_pawns,white_passed_pawns,black_passed_pawns,white_mobility,black_mobility,winner
0,66,2,0,0,0,0,4,0,1,1,0,0,0,2,1,1,2,10,30,1
0,22,7,2,2,2,1,7,2,2,2,1,0,0,0,0,0,0,37,44,0
1,41,7,1,1,2,0,7,1,0,2,1,0,0,0,0,0,0,35,30,1
0,26,7,0,2,2,0,5,1,1,2,0,0,0,0,0,0,0,32,27,0
0,84,4,0,1,2,0,4,0,0,2,0,0,0,1,0,3,1,38,18,1
0,18,7,1,1,2,1,7,1,2,2,1,0,0,0,0,0,0,30,37,0
0,16,8,2,1,2,1,8,1,2,2,1,0,1,0,1,1,0,35,34,0
1,69,4,1,0,1,0,4,1,0,1,0,0,1,1,1,2,0,26,23,1
0,40,6,1,0,2,0,6,1,0,2,0,0,1,2,3,2,3,35,34,0
1,1,8,2,2,2,1,8,2,2,2,1,0,0,0,0,0,0,30,20,0
1,11,8,2,2,2,1,8,2,2,2,1,0,0,0,0,0,0,39,28,1
1,1,8,2,2,2,1,8,2,2,2,1,0,0,0,0,0,0,30,20,0
1,29,7,1,0,2,1,7,1,0,2,1,0,0,0,1,1,0,47,32,0
0,8,8,2,1,2,1,8,1,2,2,1,0,1,0,1,1,0,27,36,1
0,32,6,2,1,2,1,6,1,1,2,1,0,0,0,1,1,0,35,31,1
1,85,3,0,0,1,0,2,0,0,1,0,1,0,3,0,2,0,19,12,1
0,80,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,8,36,1
1,13,8,2,1,2,1,8,1,2,2,1,1,0,0,0,0,0,39,20,0
1,9,8,2,2,2,1,8,2,2,2,1,0,0,0,0,0,0,39,35,0
1,41,6,0,1,2,1,7,0,1,2,1,0,0,0,0,0,0,39,32,1
0,8,8,2,2,2,1,8,2,2,2,1,0,0,0,0,0,0,34,36,1
0,16,6,2,2,2,1,6,2,2,2,1,0,0,0,0,0,0,44,45,1
1,93,7,1,1,0,0,7,0,0,2,0,0,0,0,0,0,0,14,23,1
0,24,8,1,2,2,1,8,2,1,2,1,0,1,0,0,0,0,49,36,0
0,26,7,1,2,2,1,7,1,2,2,1,0,0,0,0,0,0,37,35,0
1,25,7,2,2,2,1,6,2,2,2,1,0,0,0,0,0,0,40,39,0
0,70,4,0,0,0,1,1,0,0,1,0,0,0,0,1,3,0,31,20,0
1,23,7,0,1,2,1,7,0,1,2,1,1,1,3,1,1,3,35,35,1
0,2,8,2,2,2,1,8,2,2,2,1,0,0,0,0,0,0,29,29,0
0,30,7,1,1,2,1,7,1,1,2,1,0,0,0,0,0,0,37,36,1
1,13,8,2,2,2,1,8,2,2,2,1,0,0,0,0,0,0,32,45,0
0,48,4,0,2,1,1,5,2,1,1,1,0,1,0,1,1,0,34,46,1
1,27,6,0,1,1,1,6,1,1,2,1,1,0,4,0,0,2,43,32,0
0,6,8,2,2,2,1,8,2,2,2,1,0,0,0,0,0,0,32,28,1
0,12,7,2,2,2,1,7,2,2,2,1,0,0,0,0,0,0,43,36,0
0,16,8,2,2,2,1,8,2,2,2,1,0,0,0,0,0,0,43,31,0
1,5,7,2,2,2,1,8,2,2,2,1,0,1,0,0,0,0,29,29,1
0,76,2,0,1,1,0,5,0,0,0,1,0,0,2,0,1,1,14,30,1
1,27,8,0,1,2,0,8,0,2,2,0,2,0,0,0,0,0,28,32,1
1,25,5,1,2,0,1,7,0,2,2,0,0,0,2,0,0,2,44,23,0
0,126,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,8,0
0,40,5,1,0,2,1,6,1,1,2,1,0,0,1,0,0,1,38,39,1
0,40,6,0,1,1,1,7,2,0,2,0,0,1,1,1,1,1,35,19,0
